diaObjectId,visit,band,flux,flux_err,diff_flux,diff_flux_err,expmid,mag,magerr
614435753623027782,2024121100576,g,125116.0,351.0710144042969,-5280.14013671875,356.1000061035156,60656.33683570029,18.656719207763672,0.0030460357666015625
614435753623027782,2024121000517,r,105040.0,347.67498779296875,-22996.19921875,353.2080078125,60655.299315885364,18.846614837646484,0.0035943984985351562
614435753623027782,2024120900465,z,133213.0,655.2849731445312,21017.900390625,674.9080200195312,60654.3300592592,18.588634490966797,0.005341529846191406
614435753623027782,2024120900473,g,150006.0,431.4729919433594,19794.80078125,433.7980041503906,60654.333935318304,18.459728240966797,0.0031232833862304688
614435753623027782,2024112600314,g,157875.0,376.8580017089844,27101.5,391.8919982910156,60641.21468430551,18.404216766357422,0.0025920867919921875
614435753623027782,2024112600324,i,130821.0,420.7820129394531,-117.45999908447266,438.84698486328125,60641.221446556745,18.608306884765625,0.0034923553466796875
614435753623027782,2024112600325,i,129411.0,409.4580078125,1917.260009765625,408.739013671875,60641.2220504688,18.620073318481445,0.0034351348876953125
614435753623027782,2024121100585,r,123630.0,368.8909912109375,-4281.16015625,374.5400085449219,60656.34109666659,18.66969108581543,0.0032396316528320312
614435753623027782,2024112600308,r,147705.0,372.8890075683594,20688.80078125,393.7959899902344,60641.21059089124,18.476512908935547,0.0027399063110351562
614435753623027782,2024112600318,g,148925.0,362.468994140625,17181.30078125,367.72900390625,60641.2170911806,18.467580795288086,0.0026426315307617188
614435753623027782,2024112600320,i,133533.0,423.75201416015625,2035.0,432.20098876953125,60641.21889733806,18.586029052734375,0.003444671630859375
614435753623027782,2024112600319,i,133448.0,428.6319885253906,2785.2099609375,441.9540100097656,60641.2183335185,18.586719512939453,0.0034875869750976562
614435753623027782,2024112600313,g,158702.0,377.1610107421875,28126.80078125,379.25299072265625,60641.214104236176,18.398544311523438,0.0025806427001953125
614435753623027782,2024112600326,i,129257.0,412.843994140625,-1306.72998046875,417.0249938964844,60641.22266114574,18.621366500854492,0.003467559814453125
614435753623027782,2024112600322,i,132042.0,420.3389892578125,187.37100219726562,424.70098876953125,60641.22011597225,18.598220825195312,0.0034570693969726562
614435753623027782,2024112600323,i,131516.0,420.4289855957031,1762.280029296875,425.0870056152344,60641.22068001167,18.602554321289062,0.00347137451171875
614435753623027782,2024120700489,z,102906.0,670.1539916992188,-8066.89013671875,684.0969848632812,60652.310458477965,18.868900299072266,0.0070705413818359375
614435753623027782,2024120700490,z,104455.0,646.7039794921875,-6552.490234375,661.8770141601562,60652.310848726906,18.852676391601562,0.006722450256347656
614435753623027782,2024120700520,g,101867.0,330.43499755859375,-29626.19921875,335.00201416015625,60652.32332296294,18.87991714477539,0.003520965576171875
614435753623027782,2024120700468,z,105264.0,637.6259765625,-5436.33984375,653.8619995117188,60652.30219342011,18.844301223754883,0.0065765380859375
614435753623027782,2024120300100,r,109324.0,339.260986328125,-18285.19921875,345.8299865722656,60648.15513521989,18.803211212158203,0.0033702850341796875
614435753623027782,2024120700469,z,105450.0,575.7890014648438,-5557.490234375,593.5430297851562,60652.30258028942,18.842384338378906,0.00592803955078125
614435753623027782,2024112600309,g,158312.0,372.89300537109375,27016.19921875,375.9330139160156,60641.21172631363,18.401216506958008,0.0025568008422851562
614435753623027782,2024112600311,g,160246.0,375.15301513671875,30587.099609375,378.1099853515625,60641.21291870959,18.388032913208008,0.0025415420532226562
614435753623027782,2024120900457,r,136245.0,392.0539855957031,8894.669921875,396.781005859375,60654.32577511578,18.564199447631836,0.0031251907348632812
614435753623027782,2024121100571,r,140262.0,366.2120056152344,12269.2001953125,370.09698486328125,60656.33437168414,18.532649993896484,0.002834320068359375
614435753623027782,2024120900464,z,22392.400390625,506.6789855957031,-90220.1015625,520.166015625,60654.32967328133,20.524749755859375,0.02457141876220703
